# timestamp x y z qx qy qz qw
# vloam_depth_vo.m -- V-LOAM depth-anchored VO, scala metrica da LiDAR (non arbitraria come monovslam_test.m)
# 3438/3467 passi con >=1 corrispondenza a profondita' nota; il resto porta avanti la scala per inerzia (eq. 4 sola, epipolare)
1785426671.503766 -0.226800 -0.084199 0.557119 0.063851660 0.048065397 0.173934475 0.981508778
1785426671.603766 -0.226800 -0.084199 0.557119 0.062744756 0.048312182 0.173500591 0.981644831
1785426671.703766 -0.232966 -0.157171 0.845357 0.062083049 0.048927902 0.173382641 0.981677246
1785426671.803766 -0.232966 -0.157171 0.845357 0.062116360 0.048915152 0.173157376 0.981715534
1785426671.903766 -0.232966 -0.157171 0.845358 0.061580677 0.048814379 0.173459315 0.981700995
1785426672.003766 -0.232965 -0.157171 0.845359 0.060106340 0.048614830 0.173341777 0.981823026
1785426672.103766 -0.232965 -0.157172 0.845360 0.059706299 0.048524854 0.173513364 0.981821577
1785426672.203766 -0.232965 -0.157172 0.845361 0.059507181 0.048139196 0.174001209 0.981766313
1785426672.303766 -0.232965 -0.157172 0.845361 0.059264975 0.047404466 0.174442040 0.981738486
1785426672.403766 -0.232965 -0.157172 0.845363 0.059925320 0.046726851 0.174280123 0.981759643
1785426672.503766 -0.232964 -0.157173 0.845367 0.060571051 0.045945319 0.173935820 0.981817960
1785426672.603766 -0.232964 -0.157173 0.845368 0.061454664 0.044393366 0.173702091 0.981875826
1785426672.703766 -0.232964 -0.157173 0.845368 0.062086800 0.041129390 0.173131781 0.982078912
1785426672.803766 -0.232964 -0.157173 0.845368 0.063577151 0.037608931 0.172718776 0.982197403
1785426672.903766 -0.232964 -0.157173 0.845368 0.065220915 0.031671752 0.170870457 0.982622216
1785426673.003766 -0.232964 -0.157173 0.845368 0.066821963 0.025120973 0.169584090 0.982926751
1785426673.103766 -0.231310 -0.209795 1.001773 0.067911146 0.016805094 0.168591113 0.983200235
1785426673.203766 -0.153113 -0.389528 1.838845 0.070155873 0.005011418 0.171279131 0.982708756
1785426673.303766 -0.106390 -0.404285 2.056600 0.072099203 -0.004919345 0.175269829 0.981864549
1785426673.403766 -0.101991 -0.407834 2.098115 0.072814641 -0.008721634 0.173222677 0.982148596
1785426673.503766 -0.084911 -0.411966 2.204857 0.074179220 -0.012706948 0.176681463 0.981386589
1785426673.603766 -0.081535 -0.417197 2.235606 0.074326050 -0.016127372 0.175720406 0.981497776
1785426673.703766 -0.081722 -0.422274 2.243464 0.074017461 -0.018379046 0.174848058 0.981637297
1785426673.803766 -0.084246 -0.424359 2.229047 0.074052398 -0.020631162 0.176817595 0.981237044
1785426673.903766 -0.083400 -0.428636 2.242048 0.072890164 -0.023287292 0.177017886 0.981228513
1785426674.003766 -0.072970 -0.429706 2.316475 0.072685638 -0.026004214 0.177454213 0.981096622
1785426674.103766 -0.063979 -0.446067 2.371926 0.072536650 -0.028325735 0.182204241 0.980172282
1785426674.203766 -0.060508 -0.449784 2.380000 0.071737200 -0.030173613 0.182603028 0.980101761
1785426674.303766 -0.052294 -0.457563 2.415999 0.070543792 -0.032371446 0.183779553 0.979898331
1785426674.403766 -0.049982 -0.462519 2.440775 0.070641518 -0.033793774 0.183622486 0.979872716
1785426674.503766 -0.049222 -0.467285 2.455598 0.070040803 -0.034937469 0.183407828 0.979915929
