x,y,z,t_mean_c,t_std_c,n_obs,material,solar_absorptance,u_value_w_m2k,plausible,flag_reason
5.5,1.5,0.7000000000000001,36.116,0.454,313,paint,0.6,7.091,1,
5.5,1.5,0.9,36.337,0.427,306,paint,0.6,7.3472,1,
5.7,-0.7000000000000001,-0.30000000000000004,35.321,0.343,309,rubber,0.9,6.1693,1,
5.7,-0.7000000000000001,-0.1,35.485,0.634,740,painted_metal,0.65,6.3594,1,
5.7,-0.7000000000000001,0.1,35.178,0.484,317,painted_metal,0.65,6.0035,1,
5.7,-0.7000000000000001,0.30000000000000004,35.501,0.523,245,painted_metal,0.65,6.378,1,
5.7,-0.7000000000000001,0.5,35.956,0.566,225,painted_metal,0.65,6.9055,1,
5.7,-0.7000000000000001,0.7000000000000001,35.945,0.587,274,painted_metal,0.65,6.8928,1,
5.7,-0.7000000000000001,0.9,35.943,0.474,146,painted_metal,0.65,6.8904,1,
5.7,-0.5,-0.30000000000000004,35.214,0.266,250,rubber,0.9,6.0452,1,
5.7,-0.30000000000000004,-0.30000000000000004,34.952,0.444,268,rubber,0.9,5.7414,1,
5.7,-0.1,-0.30000000000000004,35.754,0.445,270,rubber,0.9,6.6713,1,
5.7,0.1,-0.30000000000000004,36.003,0.334,251,rubber,0.9,6.96,1,
5.7,0.30000000000000004,-0.30000000000000004,35.886,0.309,252,rubber,0.9,6.8243,1,
5.7,0.5,-0.30000000000000004,35.082,0.387,233,rubber,0.9,5.8922,1,
5.7,0.7000000000000001,-0.30000000000000004,34.959,0.264,209,rubber,0.9,5.7496,1,
5.7,0.9,-0.30000000000000004,35.143,0.293,168,rubber,0.9,5.9629,1,
5.7,1.1,-0.30000000000000004,35.162,0.331,229,rubber,0.9,5.9849,1,
5.7,1.3,-0.30000000000000004,35.198,0.361,258,rubber,0.9,6.0267,1,
5.7,1.5,-0.30000000000000004,35.266,0.408,213,rubber,0.9,6.1055,1,
5.7,1.5,-0.1,35.463,0.478,826,rubber,0.9,6.3339,1,
5.7,1.5,0.1,35.345,0.465,367,paint,0.6,6.1971,1,
5.7,1.5,0.30000000000000004,35.509,0.456,280,paint,0.6,6.3872,1,
5.7,1.5,0.5,35.83,0.482,249,paint,0.6,6.7594,1,
5.7,1.5,0.7000000000000001,36.14,0.546,304,paint,0.6,7.1188,1,
5.7,1.5,0.9,36.291,0.427,303,paint,0.6,7.2939,1,
5.7,1.5,1.1,37.078,0.17,23,paint,0.6,8.2064,0,solar_possible
5.9,-0.7000000000000001,-0.30000000000000004,35.35,0.41,279,rubber,0.9,6.2029,1,
5.9,-0.7000000000000001,-0.1,35.549,0.658,701,painted_metal,0.65,6.4336,1,
5.9,-0.7000000000000001,0.1,35.239,0.524,313,painted_metal,0.65,6.0742,1,
5.9,-0.7000000000000001,0.30000000000000004,35.54,0.531,242,painted_metal,0.65,6.4232,1,
5.9,-0.7000000000000001,0.5,35.963,0.583,210,painted_metal,0.65,6.9136,1,
5.9,-0.7000000000000001,0.7000000000000001,36.058,0.661,252,painted_metal,0.65,7.0238,1,
5.9,-0.7000000000000001,0.9,36.076,0.516,167,painted_metal,0.65,7.0446,1,
5.9,-0.5,-0.30000000000000004,35.188,0.318,228,rubber,0.9,6.0151,1,
5.9,-0.30000000000000004,-0.30000000000000004,34.902,0.411,217,rubber,0.9,5.6835,1,
5.9,-0.1,-0.30000000000000004,35.707,0.443,221,rubber,0.9,6.6168,1,
5.9,0.1,-0.30000000000000004,36.043,0.371,249,rubber,0.9,7.0064,1,
5.9,0.30000000000000004,-0.30000000000000004,35.88,0.353,268,rubber,0.9,6.8174,1,
5.9,0.5,-0.30000000000000004,35.096,0.425,313,rubber,0.9,5.9084,1,
5.9,0.7000000000000001,-0.30000000000000004,34.912,0.213,315,rubber,0.9,5.6951,1,
5.9,0.9,-0.30000000000000004,35.022,0.253,358,rubber,0.9,5.8226,1,
5.9,1.1,-0.30000000000000004,35.148,0.323,366,rubber,0.9,5.9687,1,
5.9,1.3,-0.30000000000000004,35.212,0.43,248,rubber,0.9,6.0429,1,
